buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount
4445,"JEU D'EAU DU PARC DELORME","Rue de Honfleur (SLN) , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","SAINT-LÉONARD",2005,173.2,0,173.2,,,
4446,"JEU D'EAU DU PARC DE L'ÉPERVIÈRE","Rue de la Vigne (VRD) , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VERDUN",2008,51.28,51.28,51.28,,,
4448,"JEU D'EAU DU PARC DES JOYEUX-VIKINGS","Rue  Beaudry , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",2000,43.9,43.9,43.9,,,
4449,"JEU D'EAU DU PARC PERSILLIER-LACHAPELLE","Rue  Plessis , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",1980,45.11,45.11,45.11,,,
4450,"JEU D'EAU DU PARC ROBERT-PRÉVOST","Rue  Saint-Timothée , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",1975,19.63,0,19.63,,,
4451,"JEU D'EAU DU PARC ST-JACQUES/ L.L'ALLIER","Rue  Lucien-L'Allier , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",2003,7.26,7.26,7.26,,,
4452,"JEU D'EAU DU PARC SQUARE VIGER EST","Avenue  Viger , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLE-MARIE",2005,127.75,127.75,127.75,,,
4453,"JEU D'EAU DU PARC CHAMPDORÉ","Rue  Champdoré , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLERAY/ST-MICHEL/PARC-EXTENS",2003,61.37,61.37,61.37,,,
4454,"JEU D'EAU DU PARC DE LESTRE","Avenue  Ball , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLERAY/ST-MICHEL/PARC-EXTENS",1980,281.2,0,281.2,,,
4455,"JEU D'EAU DU PARC HOWARD","Avenue de l' Épée (MTL) , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Jeu d'eau","VILLERAY/ST-MICHEL/PARC-EXTENS",2005,74.73,74.73,74.73,,,
