buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount
1,"HÔTEL DE VILLE DE MONTRÉAL","275 Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1878,22813.51,3612.19,20009,5,2,6
2,"EDIFICE GOSFORD COUR MUNICIPALE","775 Rue  Gosford , Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1913,25394.6,2969.31,22394.3,8,2,12
5,"MARCHE BONSECOURS","330 Rue  Saint-Paul E, Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Local commercial","VILLE-MARIE",1847,16221.22,3163.23,11278.82,4,3,2
6,"VESPASIENNE","3425 Avenue  Émile-Duployé , Montréal","PROPRIÉTAIRE","Bâtiment vacant","Loisir communautaire","Abri fermé","PLATEAU MONT-ROYAL",1931,147.55,73.99,116.97,1,1,0
12,"ÉDIFICE LUCIEN-SAULNIER","155 Rue  Notre-Dame E, Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","VILLE-MARIE",1857,14218.37,2922.54,12593.18,6,1,4
13,"VESPASIENNE (EX) PLACE D'ARMES","504 Place d' Armes , Montréal","PROPRIÉTAIRE","Bâtiment","Commercial","Marché public","VILLE-MARIE",1981,9,,9,,1,0
14,"TUNNEL À PIETONS, MÉTRO CHAMP-DE-MARS","Rue  Gosford , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Tunnel","VILLE-MARIE",1975,1501.09,357.35,1287.9,1,1,4
18,"PAVILLON DES BAIGNEURS DON-BOSCO","12600 Avenue  Rita-Levi-Montalcini , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","R-D-P / P-A-T",1974,782.6,391.7,729.39,1,1,0
19,"THÉÂTRE EMPRESS (CINÉMA V)","5550 Rue  Sherbrooke O, Montréal","PROPRIÉTAIRE","Bâtiment vacant","Culturel","Théâtre","COTE-DES-NEIGES / N-D-DE-GRACE",1928,5852.89,1,2909.02,1,,
21,"MUSÉE POINTE-À-CALLIÈRE-MAISON DOUANE","150 Rue  Saint-Paul O, Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Lieu d'exposition","VILLE-MARIE",1838,1771.01,434.6,1490.74,2,2,
23,"CHALET DU PARC ST-GABRIEL (PATAUG.)","2355 Rue  Mullins , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","SUD-OUEST",1976,176.8,131.78,153.46,1,1,0
24,"CENTRE COMMUNAUTAIRE OGILVY","821 Avenue  Ogilvy , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","VILLERAY/ST-MICHEL/PARC-EXTENS",1910,544.36,268.84,392,1,1,0
25,"ÉDIFICE DU 200 BELLECHASSE","200 Rue de Bellechasse , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Caserne de pompiers","ROSEMONT / PETITE-PATRIE",1929,16057.41,10096.31,15577.4,3,1,2
28,"CHALET DU PARC JEAN-AMYOT (PATAUG.)","6110 Rue de Marseille , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",1976,916.81,324.42,823,2,1,0
29,"CHALET DU PARC DE NORMANVILLE","7470 Rue  De Normanville , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Centre communautaire et loisir","VILLERAY/ST-MICHEL/PARC-EXTENS",1976,920.86,324.42,820.1,2,1,0
30,"CHALET DU PARC VINET","550 Rue  Vinet , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","SUD-OUEST",1976,908.94,321.8,811.3,2,1,0
31,"CHALET DUQUESNE","5005 Rue  Du Quesne , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",1958,376.88,225.25,322.1,2,1,0
32,"CASERNE NO 14","8216 Boulevard  Maurice-Duplessis , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","R-D-P / P-A-T",2004,1251.52,0,1148.12,2,,
33,"GUERITE D'ENTRÉE DU C.S.M. DICKSON","2060 Rue  Dickson , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Guérite","MERCIER/HOCHELAGA/ MAISONNEUVE",1982,3.48,3.48,2.6,1,0,0
34,"STATION DE POMPAGE LAVIGNE (ÉGOUTS)","4799 Boulevard  Gouin O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (égouts)","AHUNTSIC / CARTIERVILLE",1959,160.61,69.83,133.3,1,3,0
35,"STATION DE POMPAGE BEAUSÉJOUR (ÉGOUTS)","7455 Boulevard  Gouin O, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (égouts)","AHUNTSIC / CARTIERVILLE",1958,156.66,22.38,118.2,1,6,0
36,"CHALET FLEURY DU PARC DES HIRONDELLES","2574 Rue  Fleury E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","AHUNTSIC / CARTIERVILLE",1956,450.96,156.44,406.56,2,1,0
37,"CASERNE NO 49","10 Rue  Chabanel O, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","AHUNTSIC / CARTIERVILLE",1954,1164.86,546.07,1058.13,2,1,0
38,"CASERNE NO 35 & DSST","10827 Rue  Lajeunesse , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","AHUNTSIC / CARTIERVILLE",1929,1581.12,598.57,1426.47,3,1,0
39,"CASERNE NO 43","1945 Rue  Fleury E, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","AHUNTSIC / CARTIERVILLE",1949,1224.89,401.78,835.47,2,1,0
42,"ABRIS REMONTE-PENTE, PARC CABRINI","6380 Rue de Cadillac (MTL) , Montréal","PROPRIÉTAIRE","Bâtiment vacant","Loisir communautaire","Abri fermé","MERCIER/HOCHELAGA/ MAISONNEUVE",,20.16,,17.5,1,0,0
43,"CHALET DU PARC AHUNTSIC (PATAUG.)","10555 Rue  Lajeunesse , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1957,507.29,406.67,472.53,1,1,0
44,"LABORATOIRE COUR DE LOUVAIN","999 Rue de Louvain E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Laboratoire","AHUNTSIC / CARTIERVILLE",1966,4062.66,1307.38,3932.5,2,1,1
45,"PAVILLON DES BAIGNEURS GABRIEL-LALEMANT","2350 Rue  Sauvé E, Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","AHUNTSIC / CARTIERVILLE",1962,356.88,282.98,325.4,1,0,0
46,"CHALET DU PARC GABRIEL-LALEMANT","2244 Rue  Sauvé E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1963,548.79,431.47,492.5,1,1,0
47,"ABRI OUVERT, PARC LOUIS-HÉBERT","1535 Boulevard  Gouin E, Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri ouvert","AHUNTSIC / CARTIERVILLE",1958,82,,82,,,0
48,"CHALET DU PARC LEFEBVRE","12225 Rue  Cousineau , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1961,79.57,79.57,67.4,1,0,0
50,"CHALET DU PARC NICOLAS-VIEL","95 Boulevard  Gouin O, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1961,79.57,79.57,67.4,1,0,0
51,"CHALET DU PARC RAIMBAULT","12377 Rue  Notre-Dame-des-Anges , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1958,169.62,190.48,157.67,1,1,0
52,"PAVILLON DES BAIGNEURS MARCELIN-WILSON","1655 Rue  Dudemaine , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","AHUNTSIC / CARTIERVILLE",1962,341.97,341.97,307.9,1,0,0
54,"ENTREPÔT MAGASIN COUR MADISON.","6333 Rue  Saint-Jacques , Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","COTE-DES-NEIGES / N-D-DE-GRACE",1955,94.59,94.59,74.8,1,0,0
55,"CHALET DU PARC DES VÉTÉRANS (PATAUG.)","1655 Avenue  Papineau , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","VILLE-MARIE",1955,253.01,257.66,224.28,1,0,0
57,"CASERNE NO 05 (EX-POSTE 33)","75 Rue  Ontario E, Montréal","COPROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","VILLE-MARIE",1963,5707.11,1899.9,5281.96,2,1,0
59,"CHALET DU PARC TOUSSAINT-LOUVERTURE","137 Boulevard de Maisonneuve E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","VILLE-MARIE",1961,250.77,207.7,216.3,1,1,0
62,"CASERNE NO 13","3250 Rue  Sainte-Catherine E, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","MERCIER/HOCHELAGA/ MAISONNEUVE",1963,1471.33,567.27,1319.88,3,1,0
63,"ABRI OUVERT, PARC HOCHELAGA","3338 Rue  La Fontaine , Montréal","PROPRIÉTAIRE","Installation externe","Loisir communautaire","Abri ouvert","MERCIER/HOCHELAGA/ MAISONNEUVE",1932,83,83,83,1,0,0
64,"ARÉNA HOWIE-MORENZ","8650 Avenue  Querbes , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Aréna","VILLERAY/ST-MICHEL/PARC-EXTENS",1979,3772.41,884.94,3666.53,1,1,0
65,"CENTRE CALIXA-LAVALLÉE","3819 Avenue  Calixa-Lavallée , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","PLATEAU MONT-ROYAL",1932,1786.27,549.99,1534.2,2,1,1
66,"THÉÂTRE DE VERDURE","4020 Avenue du Parc-La Fontaine , Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Théâtre","PLATEAU MONT-ROYAL",1954,181.2,181.2,122.3,1,0,0
68,"CHALET-RESTAURANT","3933 Avenue du Parc-La Fontaine , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","PLATEAU MONT-ROYAL",1952,2642.51,787.66,2318.49,3,2,1
70,"PAVILLON DES BAIGNEURS PISC.MAISONNEUVE","4350 Rue de Rouen , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","MERCIER/HOCHELAGA/ MAISONNEUVE",2001,233.4,,233.4,1,,
72,"GUICHET DU TENNIS","3500 Avenue  Émile-Duployé , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Kiosque","PLATEAU MONT-ROYAL",1960,9.23,,7.3,,,0
73,"CHALET DU PARC PIERRE-BÉDARD (PATAUG.)","5855 Rue  Turenne , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","MERCIER/HOCHELAGA/ MAISONNEUVE",1966,128.4,128.4,112.6,1,0,0
74,"ENTREPÔT, JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Entrepôt chauffé","ROSEMONT / PETITE-PATRIE",1979,385.12,,366.86,1,0,0
75,"PAVILLON DES BAIGNEURS","1450 Rue  Rachel E, Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","PLATEAU MONT-ROYAL",1962,134.77,134.77,117.1,1,0,0
76,"CHALET DU PARC DE LA LOUISIANE","4644 Rue  Beaubien E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","ROSEMONT / PETITE-PATRIE",1966,294.05,194.28,264.82,1,1,0
77,"CASERNE NO 30 ET MUSÉE DES POMPIERS AUX.","5 Avenue  Laurier O, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","PLATEAU MONT-ROYAL",1905,2192.26,619.05,1767.5,3,1,0
79,"CASERNE NO 26","2151 Avenue du Mont-Royal E, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","PLATEAU MONT-ROYAL",1901,1346.26,449.36,1201.08,3,1,0
80,"CHALET DU PARC DE LOUISBOURG","5455 Rue de Louisbourg , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1966,291.99,191.3,259.75,1,1,0
81,"CHALET DU PARC COFFEE","7330 Rue  Coffee , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1966,117.6,117.6,98,1,0,0
82,"CHALET DU PARC BALDWIN","4355 Rue  Fullum , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","PLATEAU MONT-ROYAL",1964,392.38,333.7,333.7,1,1,0
83,"CHALET DU PARC SAINT-PIERRE-CLAVER","2335 Rue  Gilford , Montréal","PROPRIÉTAIRE","Bâtiment vacant","Loisir communautaire","Chalet","PLATEAU MONT-ROYAL",1951,156.85,156.85,140.8,1,0,0
84,"CCSE MAISONNEUVE","4375 Rue  Ontario E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","MERCIER/HOCHELAGA/ MAISONNEUVE",1914,3437.88,1368.13,3198.2,3,1,1
85,"CHALET DU PARC JEAN-BRILLANT (PATAUG.)","5252 Avenue  Decelles , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","COTE-DES-NEIGES / N-D-DE-GRACE",1966,128.4,128.4,112.6,1,0,0
86,"PAVILLON NELSON-MANDELA","4920 Rue  Vézina , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1966,319.58,319.58,288.68,1,0,0
87,"CENTRE SPORTIF PIERRE-CHARBONNEAU","2980 Rue  Viau , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Gymnase","MERCIER/HOCHELAGA/ MAISONNEUVE",1958,18788.64,7187.78,15070,5,2,3
88,"ÉDIFICE MARIE-VICTORIN","4101 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","ROSEMONT / PETITE-PATRIE",1938,14293.88,,12910.3,3,1,4
89,"SERRES D'EXPO. & SERV., JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Serre de service et production","ROSEMONT / PETITE-PATRIE",1957,12550.72,,12154.23,1,1,0
90,"CHALET DU PARC WILLIAM-BOWIE","4955 Avenue  Trenholme , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1966,131.55,131.55,113.54,1,0,0
91,"CHAUFFERIE & ATELIER, JARDIN BOTANIQUE","4101 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Chaufferie","ROSEMONT / PETITE-PATRIE",1939,2309.16,,2122.8,1,1,0
92,"RESTAURANT, JARDIN BOTANIQUE","4455 Boulevard  Pie-IX , Montréal","PROPRIÉTAIRE","Bâtiment","Commercial","Restaurant","ROSEMONT / PETITE-PATRIE",1956,688.04,341.69,613.71,1,1,0
95,"COMPLEXE SPORTIF CLAUDE-ROBILLARD","1000 Avenue  Émile-Journault E, Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Espace sports/loisirs","AHUNTSIC / CARTIERVILLE",1976,49577,20707.7,46742.9,4,2,6
96,"CHALET DU PARC CHAMPÊTRE","411 Avenue  Letourneux , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","MERCIER/HOCHELAGA/ MAISONNEUVE",1914,394.7,394.7,394.7,1,1,0
97,"BÂTIMENT DE SERVICE","4601 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Atelier / Esp. bureau","ROSEMONT / PETITE-PATRIE",1953,438.52,438.52,408.5,1,0,0
98,"MAISON DE LA CULT. MAISONN.(EX-CAS. 45)","4200 Rue  Ontario E, Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Maison de la culture","MERCIER/HOCHELAGA/ MAISONNEUVE",1907,2124.65,589.42,1906.3,3,1,1
99,"CHALET DU PARC MAISONNEUVE","4601 Rue  Sherbrooke E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","ROSEMONT / PETITE-PATRIE",1966,1660.48,833.84,1588.4,1,1,0
100,"BIBLIOTHEQUE MAISONNEUVE","4120 Rue  Ontario , Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Bibliothèque","MERCIER/HOCHELAGA/ MAISONNEUVE",1911,4735.79,1420.06,2678.5,2,1,1
101,"BAIN MORGAN & CENTRE MORGAN","1875 Avenue  Morgan , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Piscine intérieure","MERCIER/HOCHELAGA/ MAISONNEUVE",1916,2457.38,982.31,2141.6,2,1,0
103,"CHALET DU PARC MORGAN","4370 Rue  Sainte-Catherine E, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","MERCIER/HOCHELAGA/ MAISONNEUVE",1931,148.63,148.63,123,1,0,0
104,"CASERNE NO 47 (MAIS.CULT.PETITE PATRIE)","2111 Rue  Saint-Zotique E, Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","ROSEMONT / PETITE-PATRIE",1931,3291.93,911.35,2941.5,3,1,1
105,"ÉDIFICE DU 1500 DES CARRIÈRES","1500 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Atelier / Esp. bureau","ROSEMONT / PETITE-PATRIE",1929,12025.06,5227.64,10323.12,5,1,1
106,"ÉDIFICE DU 1400-1402 DES CARRIÈRES","1400 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","ROSEMONT / PETITE-PATRIE",1960,1414.21,934.62,1333.82,2,1,0
107,"ÉDIFICE DU 1650 DES CARRIÈRES","1610 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Espace à bureaux","ROSEMONT / PETITE-PATRIE",1960,3250.18,1731.51,2974.63,2,1,0
109,"ÉDIFICE DU 1351 DES CARRIÈRES","1351 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Atelier / Esp. bureau","ROSEMONT / PETITE-PATRIE",1956,335.62,335.62,304.1,1,0,0
110,"CENTRE SPORTIF PÈRE-MARQUETTE","1600 Rue  De Drucourt , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Espace sports/loisirs","ROSEMONT / PETITE-PATRIE",1960,7526.87,4080.15,7162.36,1,2,0
111,"ÉDIFICE DU 1220 DES CARRIÈRES","1220 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Administratif","Espace à bureaux","ROSEMONT / PETITE-PATRIE",1958,880.09,438.3,514.3,1,1,0
113,"GARAGE, COUR DES CARRIÈRES","1350 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Garage TP/Parcs/Imm./Ent.méc.","ROSEMONT / PETITE-PATRIE",1956,5959.29,5908.01,5740.54,2,0,0
114,"GARAGE 1620, COUR DES CARRIÈRES","1620 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Garage remisage chauffé","ROSEMONT / PETITE-PATRIE",1956,2201.31,2201.31,2143.8,1,0,0
115,"CHALET DU PARC SAINT-VICTOR (PATAUG.)","9175 Rue  Hochelaga , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Chalet","MERCIER/HOCHELAGA/ MAISONNEUVE",1966,293.84,193.78,264.9,1,1,0
117,"ENTREPÔT 1500, COUR DES CARRIÈRES","1500 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Entrepôt non-chauffé","ROSEMONT / PETITE-PATRIE",1969,211.82,117.09,201.57,2,0,0
118,"CHALET DU PARC PÈRE-MARQUETTE (PATAUG.)","1555 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Chalet","ROSEMONT / PETITE-PATRIE",1954,247.69,247.69,224.7,1,0,0
119,"PATAUGEOIRE DU PARC DE LA BRUÈRE","2150 Rue  Liébert , Montréal","PROPRIÉTAIRE","Installation externe","Sportif","Pataugeoire","MERCIER/HOCHELAGA/ MAISONNEUVE",,300,,300,,,
120,"CHALET DU PARC MONTCALM","6855 Avenue  Papineau , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","ROSEMONT / PETITE-PATRIE",1971,132.52,132.52,118,1,0,0
121,"CASERNE NO 27","5353 Avenue  Gatineau , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","COTE-DES-NEIGES / N-D-DE-GRACE",1908,1639.37,680.63,1515.34,3,1,0
125,"STATION DE POMPAGE CHEMIN CDN (AQUE)","4160 Chemin de la Côte-des-Neiges , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (aqueduc)","VILLE-MARIE",1938,829.82,305.97,734.38,1,2,0
127,"STATION DE POMPAGE VINCENT-D'INDY (AQUE)","100 Avenue  Vincent-D'Indy , Outremont","PROPRIÉTAIRE","Bâtiment","Industriel","Station de pompage (aqueduc)","OUTREMONT",1907,202.1,139.82,182.9,1,0,0
128,"VOÛTE ET L'ANTENNE DE LA VILLE DE MTL","1100 Voie  Camillien-Houde , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Station télécom","VILLE-MARIE",1954,398.1,266.92,398.1,1,0,0
129,"CHALET PARC MARTIN-LUTHER-KING (PATAU.)","3533 Avenue de Kent , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1954,244.75,257.9,224.24,1,0,0
131,"PAV.BAIGNEURS PARC MARTIN-LUTHER-KING","6262 Chemin  Hudson , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Pavillon des baigneurs","COTE-DES-NEIGES / N-D-DE-GRACE",1962,351.99,351.99,320.21,1,0,0
132,"CHALET DU PARC MACKENZIE-KING (JEU EAU)","4905 Avenue  Saint-Kevin , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1954,257.89,257.78,230.3,1,0,0
133,"MAISON DU CITOYEN","7501 Rue  François-Perrault , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","VILLERAY/ST-MICHEL/PARC-EXTENS",1957,1884.12,628.04,1682.92,2,1,1
134,"CHALET DU PARC MAURICE-CULLEN","4770 Chemin  Circle , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1960,69.18,69.18,57.52,1,0,0
135,"CHALET DU PARC VAN HORNE (JEU D'EAU)","4900 Avenue  Van Horne , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1955,416.93,239.7,239.7,1,1,0
137,"BIBLIOTHEQUE BENNY","3465 Avenue  Benny , Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Centre communautaire et loisir","COTE-DES-NEIGES / N-D-DE-GRACE",1954,793.35,396.83,389.3,1,1,0
138,"EDIFICE MADISON, C.S.M. MADISON","2140 Avenue  Madison , Montréal","PROPRIÉTAIRE","Bâtiment","Industriel","Garage TP/Parcs/Imm./Ent.méc.","COTE-DES-NEIGES / N-D-DE-GRACE",1960,7691.42,5159.06,7314.6,3,0,1
142,"BIBLIO ET CENTRE COMMUNAUTAIRE CDN-NORD","6767 Chemin de la Côte-des-Neiges , Montréal","PROPRIÉTAIRE","Bâtiment","Culturel","Centre communautaire et loisir","COTE-DES-NEIGES / N-D-DE-GRACE",1976,8066.23,1064.81,7735.3,6,1,3
143,"INCINÉRATEUR DES CARRIÈRES (EX)","1266 Rue des Carrières , Montréal","PROPRIÉTAIRE","Bâtiment vacant","Industriel","Garage TP/Parcs/Imm./Ent.méc.","ROSEMONT / PETITE-PATRIE",1970,27908.02,4955.96,27013.1,6,1,4
146,"CHALET DU PARC CAMILLE","9310 Boulevard  Gouin O, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","AHUNTSIC / CARTIERVILLE",1968,32.78,32.78,26.2,1,0,0
148,"CENTRE TRENHOLME","6800 Rue  Sherbrooke O, Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Gymnase","COTE-DES-NEIGES / N-D-DE-GRACE",1960,1472.71,490.41,970.52,2,1,0
149,"PAVILLON DES TRINITAIRES","3150 Boulevard des Trinitaires , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","SUD-OUEST",1965,139.36,139.36,122.67,1,0,0
150,"CASERNE NO 04","5260 Avenue  Van Horne , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","COTE-DES-NEIGES / N-D-DE-GRACE",1950,608.05,250.96,520.01,2,1,0
151,"CASERNE 34/BIBLIO&MAISON CULTURE N-D-G","3755 Rue  Botrel , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","COTE-DES-NEIGES / N-D-DE-GRACE",1912,3225.42,1067.8,2806.09,3,0,1
152,"CENTRE COMMUNAUTAIRE N-D-G","5311 Chemin de la Côte-Saint-Antoine , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Espace sports/loisirs","COTE-DES-NEIGES / N-D-DE-GRACE",1931,5174.01,,4509.9,5,1,2
153,"CASERNE NO 46","4760 Avenue  Cumberland , Montréal","PROPRIÉTAIRE","Bâtiment","Protection et sécurité","Caserne de pompiers","COTE-DES-NEIGES / N-D-DE-GRACE",1930,617.88,254.57,519.81,2,1,0
154,"CENTRE GADBOIS","5485 Chemin de la Côte-Saint-Paul , Montréal","PROPRIÉTAIRE","Bâtiment","Sportif","Espace sports/loisirs","SUD-OUEST",1954,20608.02,6756.67,19561.3,3,1,0
156,"CHEVALET D'ESTIVATION, C.S.M. MADISON","2160 Avenue  Madison , Montréal","PROPRIÉTAIRE","Installation externe","Industriel","Chevalet d'estivation","COTE-DES-NEIGES / N-D-DE-GRACE",1979,445.36,445.36,445.36,1,0,0
157,"CHALET DU PARC WILLIAM-HURST","6230 Rue de Terrebonne , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1973,128.95,128.95,115.3,1,0,0
158,"CHALET DU PARC LOYOLA","4877 Avenue  Doherty , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Chalet","COTE-DES-NEIGES / N-D-DE-GRACE",1970,431.65,208.2,401.4,1,1,0
159,"CENTRE ST-DENIS","5115 Rue  Rivard , Montréal","PROPRIÉTAIRE","Bâtiment","Loisir communautaire","Centre communautaire et loisir","PLATEAU MONT-ROYAL",1967,2269.19,943.35,2130.5,2,1,1
